index,name,lifespan.yr,rise,reignspan.yr
1,Augustus,76,Birthright,40
2,Tiberius,78,Birthright,
3,Caligula,29,Birthright,4
4,Claudius,63,Birthright,13
5,Nero,31,Birthright,14
6,Galba,71,Seized Power,1
7,Otho,37,Appointment,0
8,Vitellius,54,Seized Power,0
9,Vespasian,70,Seized Power,10
10,Titus,42,Birthright,2
11,Domitian,45,Birthright,15
12,Nerva,68,Appointment,2
13,Trajan,64,Birthright,19
14,Hadrian,62,Birthright,21
15,Antonius Pius,75,Birthright,23
16,Marcus Aurelius,59,Birthright,19
17,Lucius Verus,39,Birthright,8
18,Commodus,31,Birthright,15
19,Pertinax,67,Appointment,0
21,Septimus Severus,66,Seized Power,18
22,Caracalla,29,Birthright,19
23,Geta,22,Birthright,2
24,Macrinus,53,Seized Power,1
25,Elagabalus,19,Birthright,4
26,Severus Alexander,27,Birthright,13
27,Maximinus I,62,Appointment,3
28,Gordian I,79,Appointment,0
29,Gordian II,46,Appointment,0
30,Pupienus,60,Appointment,0
31,Balbinus,60,Appointment,0
32,Gordian III,19,Appointment,6
33,Philip I,45,Seized Power,5
34,Trajan Decius,50,Appointment,2
35,Hostilian,21,Birthright,0
36,Trebonianus Gallus,47,Appointment,2
37,Aemilian,46,Appointment,0
38,Valerian,69,Appointment,7
39,Gallienus,50,Birthright,15
40,Claudius Gothicus,57,Seized Power,2
41,Quintillus,58,Birthright,0
42,Aurelian,61,Appointment,5
43,Tacitus,76,Appointment,1
44,Florian,,Birthright,0
45,Probus,50,Appointment,6
46,Carus,53,Seized Power,1
47,Numerian,,Birthright,1
48,Carinus,,Birthright,2
49,Diocletian,67,Seized Power,21
50,Maximian,60,Appointment,19
51,Constantius I,56,Appointment,1
52,Galerius,51,Appointment,6
53,Severus II,,Appointment,2
54,Constantine the Great,65,Birthright,31
55,Maxentius,34,Birthright,6
56,Maximinus II,43,Birthright,2
57,Lucinius I,75,Birthright,16
58,Constantine II,24,Birthright,3
59,Consantius II,44,Birthright,24
60,Constans,30,Birthright,13
61,Vetranio,,Seized Power,0
62,Julian,32,Birthright,3
63,Jovian,33,Appointment,1
65,Valens,50,Birthright,14
66,Gratian,24,Birthright,16
67,Valentinian II,21,Birthright,17
68,Theodosius I,48,Birthright,16
